Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,153:30:00,110:30:00,124:30:00,91:30:00
Setup Count,307,221,249,183
Product-Machine Pairs,292,228,240,218
Moving Time,20:51:00,20:06:00,18:33:00,18:21:00
Moving Count,82,102,93,93
Proc Time,8148:41:55,8417:14:50,8284:40:15,8316:32:20
Processing (sec),29335315.00,30302090.00,29824815.00,29939540.00
Total Time (sec),29962975.00,30772250.00,30339795.00,30335000.00
Average Flow Time (sec),390917.43,325688.99,320467.97,275024.84
Makespan,1175:54:15,361:56:10,318:42:15,345:35:20
Schedule Span,1167:54:15,353:56:10,310:42:15,337:35:20
Tardiness,14182:06:10,8403:05:05,5245:18:05,3956:15:00
Tardy Lots,85,118,91,56
Objective,324888660.0,129607520.0,86299200.0,60526940.0
Solve Time,633.66s,2.11s,31.71s,221.63s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,88
Number of Updates,-,0,4,24
Absolute Gap vs Best,264361720.000000,69080580.000000,25772260.000000,0.000000
RPD vs Best (%),436.7670%,114.1320%,42.5798%,0.0000%
MIP Gap,93.75%,-,-,-
